"site_id";"bio01_LGM";"bio01_current";"bio01_little_ice_age";"bio01_medieval_warm";"bio01_mid_Holocene";"bio01_other";"bio03_LGM";"bio03_current";"bio03_little_ice_age";"bio03_medieval_warm";"bio03_mid_Holocene";"bio03_other";"bio12_LGM";"bio12_current";"bio12_little_ice_age";"bio12_medieval_warm";"bio12_mid_Holocene";"bio12_other"
"100";"140-a";285.336363636364;289.8;289.02;289.075;288.461904761905;287.224581005587;37.1454545454545;33.6;32.56;32.775;27.9333333333333;31.6167597765363;520.272727272727;354;388.6;395;400.714285714286;425.567415730337
"101";"140-b";285.336363636364;289.8;289.02;289.075;288.461904761905;287.224581005587;37.1454545454545;33.6;32.56;32.775;27.9333333333333;31.6167597765363;520.272727272727;354;388.6;395;400.714285714286;425.567415730337
"102";"140-c";285.336363636364;289.8;289.02;289.075;288.461904761905;287.224581005587;37.1454545454545;33.6;32.56;32.775;27.9333333333333;31.6167597765363;520.272727272727;354;388.6;395;400.714285714286;425.567415730337
"103";"143-a";283.154545454545;288.3;287.54;287.575;286.895238095238;285.321787709497;36.8;33;34.02;33.375;30.5142857142857;32.6201117318436;561.818181818182;381;416.4;413.5;439.428571428571;461.994382022472
"104";"143-b";283.154545454545;288.3;287.54;287.575;286.895238095238;285.321787709497;36.8;33;34.02;33.375;30.5142857142857;32.6201117318436;561.818181818182;381;416.4;413.5;439.428571428571;461.994382022472
"105";"143-c";283.154545454545;288.3;287.54;287.575;286.895238095238;285.321787709497;36.8;33;34.02;33.375;30.5142857142857;32.6201117318436;561.818181818182;381;416.4;413.5;439.428571428571;461.994382022472
"106";"146-a";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"107";"146-b";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"108";"146-c";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"109";"147-a";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"110";"147-b";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"111";"147-c";283.009090909091;288.2;287.46;287.5;286.82380952381;285.239106145251;36.6727272727273;33.1;33.88;33.3;30.3619047619048;32.4715083798883;693.909090909091;451;491.4;487;525;560.286516853933
"112";"148-a";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"113";"148-b";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"114";"148-c";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"115";"149-a";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"116";"149-b";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"117";"149-c";283.5;288.6;287.94;288;287.290476190476;285.721229050279;36.1727272727273;32.9;33.42;32.925;30.0857142857143;32.1396648044693;697.818181818182;445;488.4;484.25;518.285714285714;558.516853932584
"118";"150-a";283.572727272727;288.7;287.96;288.025;287.347619047619;285.779329608939;36.1363636363636;32.7;33.42;33;30.0428571428571;32.1223463687151;698.636363636364;445;487.6;484.5;518.285714285714;559.073033707865
"119";"150-b";283.572727272727;288.7;287.96;288.025;287.347619047619;285.779329608939;36.1363636363636;32.7;33.42;33;30.0428571428571;32.1223463687151;698.636363636364;445;487.6;484.5;518.285714285714;559.073033707865
"120";"150-c";283.572727272727;288.7;287.96;288.025;287.347619047619;285.779329608939;36.1363636363636;32.7;33.42;33;30.0428571428571;32.1223463687151;698.636363636364;445;487.6;484.5;518.285714285714;559.073033707865
"121";"151-a";284.109090909091;288.7;287.86;287.875;287.257142857143;285.996648044693;38.9272727272727;35.4;34.98;34.925;30.347619047619;33.7251396648045;466.818181818182;327;358.2;362.25;368.47619047619;384.286516853933
"122";"151-b";284.109090909091;288.7;287.86;287.875;287.257142857143;285.996648044693;38.9272727272727;35.4;34.98;34.925;30.347619047619;33.7251396648045;466.818181818182;327;358.2;362.25;368.47619047619;384.286516853933
"123";"151-c";284.109090909091;288.7;287.86;287.875;287.257142857143;285.996648044693;38.9272727272727;35.4;34.98;34.925;30.347619047619;33.7251396648045;466.818181818182;327;358.2;362.25;368.47619047619;384.286516853933
"124";"152-a";284.109090909091;288.7;287.86;287.875;287.257142857143;285.996648044693;38.9272727272727;35.4;34.98;34.925;30.347619047619;33.7251396648045;466.818181818182;327;358.2;362.25;368.47619047619;384.286516853933
